,,Bloomberg Ticker,N/A (index product),CRCL US,MU US,IVV US,EXOD US,TSLA US,NVDA US,SPY US,CRCL US,QQQ US,NVDA US,MRVL US,SPY US,HIMS US,SPCX US,QQQ US,MSTR US,GOOGL US,TSLA US,GOOGL US,FGRS US,FORD US,,,INTC US,PDD US,CURR US,ASML US,TSM US,SOFI US,MSTR US,AAPL US,ITOT US,MSFT US,EFA US,ARM US,SPCX US,IEMG US,TSM US,AMD US,IWF US,ORCL US,SOXX US,EEM US,SNDK US,TQQQ US,COIN US,META US,AVGO US,AMZN US,N/A,,,CRCL US,MU US,IVV US,EXOD US,TSLA US,NVDA US,SPY US,CRCL US,QQQ US,NVDA US,MRVL US,SPY US,HIMS US,SPCX US,QQQ US,MSTR US,GOOGL US,TSLA US,GOOGL US,FGRS US,FORD US,0,0,INTC US,PDD US,CURR US,ASML US,TSM US,SOFI US,MSTR US,AAPL US,ITOT US,MSFT US,EFA US,ARM US,SPCX US,IEMG US,TSM US,AMD US,IWF US,ORCL US,SOXX US,EEM US,SNDK US,TQQQ US,COIN US,META US,AVGO US,AMZN US
Timestamp,Date,Measure,Strategy PP Variable xStock,Circle Internet Group (Ondo Tokenized),Micron Technology (Ondo Tokenized),iShares Core S&P 500 ETF (Ondo Tokenized),Exodus Movement,Tesla xStock,NVIDIA (Ondo Tokenized),SPDR S&P 500 ETF (Ondo Tokenized),Circle xStock,Invesco QQQ (Ondo Tokenized),NVIDIA xStock,Marvell Technology (Ondo Tokenized),SP500 xStock,Hims & Hers Health (Ondo Tokenized),SpaceX xStock,Nasdaq xStock,MicroStrategy xStock,Alphabet Class A (Ondo Tokenized),Tesla (Ondo Tokenized),Alphabet xStock,FGRS,Forward Industries Inc.,WisdomTree 500 Digital Fund,iShares Core MSCI EAFE ETF (Ondo Tokenized),Intel (Ondo Tokenized),PDD Holdings (Ondo Tokenized),CURRENC Group Inc.,ASML xStock,TSMC xStock,SoFi Technologies (Ondo Tokenized),MicroStrategy (Ondo Tokenized),Apple (Ondo Tokenized),iShares Core S&P Total US Stock Market ETF (Ondo Tokenized),Microsoft (Ondo Tokenized),iShares MSCI EAFE ETF (Ondo Tokenized),Arm Holdings plc (Ondo Tokenized),SpaceX (Ondo Tokenized),iShares Core MSCI Emerging Markets ETF (Ondo Tokenized),Taiwan Semiconductor Manufacturing (Ondo Tokenized),AMD (Ondo Tokenized),iShares Russell 1000 Growth ETF (Ondo Tokenized),Oracle (Ondo Tokenized),iShares Semiconductor ETF (Ondo Tokenized),iShares MSCI Emerging Markets ETF (Ondo Tokenized),SanDisk (Ondo Tokenized),ProShares UltraPro QQQ (Ondo Tokenized),Coinbase (Ondo Tokenized),Meta Platforms (Ondo Tokenized),Broadcom (Ondo Tokenized),Amazon (Ondo Tokenized),All Others (483 Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67175E+12,23-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67184E+12,24-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67193E+12,25-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67201E+12,26-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6721E+12,27-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67219E+12,28-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67227E+12,29-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67236E+12,30-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67244E+12,31-12-2022,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
